fecha,precio,volumen,rendimiento
2024-01-02,100.0,1597225,
2024-01-03,101.34178538252807,1384475,0.013417853825280712
2024-01-04,101.09282838952672,1296923,-0.002456607529279564
2024-01-05,102.83083787371817,1683502,0.017192213452517313
2024-01-08,106.84902961762005,1809299,0.03907574641020073
2024-01-09,106.33040212546568,1779384,-0.004853834368083398
2024-01-10,105.81433560797016,1248234,-0.004853423923729561
2024-01-11,110.09773381499082,1407236,0.0404803203876849
2024-01-12,112.32015216207222,1599379,0.020185868228822734
2024-01-15,111.11418645262407,1792663,-0.010736859648373787
2024-01-16,112.73245358519556,1356247,0.014564001089649059
2024-01-17,111.53913070014227,1444302,-0.010585442320311556
2024-01-18,110.35199253448197,1168099,-0.010643243839256411
2024-01-19,111.12986999665347,1141138,0.007049056789150798
2024-01-22,105.92543524525047,1743757,-0.04683200611644489
2024-01-23,101.46354387621479,1906872,-0.04212294581282594
2024-01-24,100.13871528523626,1478396,-0.013057188231024308
2024-01-25,97.7032638207416,1801059,-0.024320778008360633
2024-01-26,98.56854183560036,1608490,0.008856183314881916
2024-01-29,96.42954515054234,1306464,-0.021700601888030246
2024-01-30,93.12127960733814,1608418,-0.034307592533382336
2024-01-31,96.62647810736786,1961410,0.03764121922303887
2024-02-01,96.1777053665721,1489252,-0.00464440751216344
2024-02-02,96.4362507662989,1969393,0.002688205117198139
2024-02-05,93.09775268295243,714076,-0.03461870465533645
2024-02-06,91.92383022931746,1746570,-0.012609568113129521
2024-02-07,92.27066479217393,1526114,0.0037730647427467456
2024-02-08,89.70786189295914,1410297,-0.027774839435557586
2024-02-09,90.64014640343241,1527528,0.0103924504586419
2024-02-12,89.36973708009069,903729,-0.014015967247970051
2024-02-13,88.80739197399751,1434098,-0.006292343744831896
2024-02-14,87.56029949183146,1607133,-0.014042665305734836
2024-02-15,91.702510605768,1943368,0.047306954612723384
2024-02-16,91.76326988150679,1344518,0.0006625693815516254
2024-02-19,89.4285578156283,1257451,-0.025442773223897652
2024-02-20,91.3569615041432,1349472,0.02156362280257973
2024-02-21,88.66000430732284,1774620,-0.02952109124927549
2024-02-22,89.21161049244927,1598625,0.006221589875118783
2024-02-23,84.9301889083104,1341071,-0.04799175309699455
2024-02-26,82.19504179626055,1653980,-0.032204651222460745
2024-02-27,82.68176227581496,1529123,0.005921530896727978
2024-02-28,84.29088699348614,1790593,0.01946166449988529
2024-02-29,84.73629749108092,1289384,0.005284207029749188
2024-03-01,84.57604360705244,1401701,-0.0018912070597060238
2024-03-04,84.02396566844938,1382367,-0.0065275923897323285
2024-03-05,81.00220761015083,1060945,-0.03596304975918552
2024-03-06,79.62548556737717,1588836,-0.016996105209867607
2024-03-07,78.78814640772373,1578316,-0.010515969273994563
2024-03-08,80.94915207238633,1501534,0.027428055655472905
2024-03-11,81.72549145388699,1429623,0.009590457239211592
