fecha,AAPL,GOOGL,MSFT,AMZN,TSLA,JPM,JNJ,XOM,WMT,PG
2024-01-02,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2024-01-03,104.38891793575509,100.6938515306921,102.14120925397687,103.53949806168305,101.5515287811862,98.179476570116,99.71055783118481,101.01110349056623,99.86940890594742,100.62783196489302
2024-01-04,105.57926304085547,102.25461161588719,103.61119434045004,104.70514424085319,104.26878459803883,100.32370255427271,101.78908451476518,102.58050585668606,102.02957965839468,101.90649483917882
2024-01-05,107.4242297279328,103.54897665008097,105.36694646034564,108.25599854299311,108.46420816523036,101.16009202038494,101.78437459560287,101.86222392183618,103.63519206173068,101.92448094424837
2024-01-08,107.45579401677507,100.01013013669433,104.19645224653051,108.67601036168205,106.31220193804856,99.17857333381363,100.01332340636246,99.94554701823682,105.1246777143316,100.73802821927292
2024-01-09,106.18173796821058,99.63604021805257,103.53241848384313,107.02439128799766,104.12334770808414,99.89944303593857,100.16011703517927,98.47662616265195,103.34251549457638,100.09422814320732
2024-01-10,107.10971356865953,99.43321593274662,103.58762209739066,107.42305595982785,102.81830409946569,98.60953076827717,100.18916166694972,98.51068798931082,102.42735224802013,99.69494440096321
2024-01-11,110.97486650806442,101.4697695680181,106.68955155416567,112.26582687163923,108.99587594962149,101.26773677740938,101.17350569042075,99.7427378412642,103.62537352293097,101.69020165010059
2024-01-12,109.8403832796069,101.54039005194971,105.49697931789964,111.82594054749697,108.48920571386815,104.08756361598381,101.96502412741367,101.25102888907618,104.17779169888193,102.5748823568405
2024-01-15,110.51724912815972,101.68868747842203,105.5841724190255,113.41508791179447,109.64342442461074,105.1394974493696,101.37693891096599,102.62963401851506,105.55780912957472,102.50053808630723
2024-01-16,108.35384806393903,101.12772959155603,105.18034177164479,110.19939642022037,107.95651141676245,102.69319483821984,101.33640279879336,99.10519022324766,104.33673392803516,100.97269472167251
2024-01-17,107.23076769736429,99.3593524367709,104.16694787478295,109.94190966380134,105.35922498320349,103.83589409602811,101.46735923789642,99.94834785500164,104.10055626265353,101.17131963557915
2024-01-18,107.52716099761886,98.79871098686154,102.7700821462129,107.79535057425812,103.2848573522659,99.84622548979071,99.80454393459158,100.33410442411255,103.93795317722142,100.40865824898711
2024-01-19,106.51775902884877,98.56768470958396,101.83637112121728,107.38047276995191,103.42711207187214,97.24341351644513,98.87044697590619,98.83552253331102,103.93753713004384,98.99330843154992
2024-01-22,108.23475669059293,98.85692273127003,103.18855742250753,108.10421220599288,103.75798849114922,97.71209339425434,99.39272538792979,101.60025843788385,105.68186675108426,100.38173156632027
2024-01-23,108.6591597256268,96.03868702706733,102.07147578807027,107.5180879684457,100.99411260360148,96.80670199465865,98.35248969188547,101.21644059378555,107.26420456133164,100.06117130084795
2024-01-24,108.36926492802927,95.96868956492192,102.9703611850787,106.82745168374862,101.13838056435932,96.2334129589654,98.9909463220874,101.58609551788837,107.20623945907121,100.60331845088454
2024-01-25,107.53750452949778,94.58949279330301,101.86899022309083,105.69984857634148,100.65914307159859,93.79066760646542,98.71567706993328,102.04649408266866,107.15025145128863,100.1301708188576
2024-01-26,110.12501273432981,96.14128638132718,103.06719944987312,108.61988073311707,102.50757813260333,93.49971118550053,98.85773745340143,101.03035994017341,107.43398941359698,99.12891739537064
2024-01-29,107.83611796147922,95.10272567500581,101.61037535964321,107.08418237303022,101.04673554013245,91.36583045594121,97.00193544025905,99.32788041625682,104.9917985613931,98.2504544307741
2024-01-30,109.47597629946095,97.68564975487426,103.61018851053569,110.21762316315187,105.54299520087342,92.22318980695157,98.27064834468399,100.43904470818889,105.55066846728475,98.99867752587085
2024-01-31,107.2550028708449,94.91183444777771,102.4632107458494,107.2222261656412,101.08844798782755,87.55952413939923,96.62730545396319,96.67630933250939,103.2164279276614,97.25393664572513
2024-02-01,107.9934299894507,96.14145074920705,102.95300617704473,109.43491096076231,104.49040075772002,87.23512071802855,95.9678384376705,95.16653175637002,103.72533726946254,95.8995792659385
2024-02-02,110.92210801859586,98.27118392944125,106.18884077947571,111.65772862027563,107.67033493360225,88.29823223843968,96.41326080454412,92.66711028982252,103.40528021348489,96.29697797287864
2024-02-05,113.77165935683783,100.50942804203204,108.0633584103102,115.45469328431945,110.83598547928467,89.09370519060194,97.50868269015453,97.37379721097676,106.03881954166391,96.60636500085526
2024-02-06,114.7385507383575,102.72506795845929,109.24296304451627,115.16492131863498,110.26254007519563,88.76264692586402,97.80653346037616,98.35842090396565,105.5011096289407,95.75279466625138
2024-02-07,114.54339441305177,101.69987037944335,107.76441542778912,114.13158512633662,109.90367538676837,88.81399208324426,97.53488145847538,97.92491615403844,105.7742414779235,95.77605719360353
